longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,roomsxpop
-120.79,38.43,40,1391,246,546,214,3.9107,129800,INLAND,2.5476190476190474
-119.79,36.75,33,3161,934,3530,846,1.123,46700,INLAND,0.8954674220963172
-122.07,37.69,31,5914,1309,2999,1295,3.0964,190500,NEAR BAY,1.9719906635545181
-119.82,36.77,41,1441,274,646,296,3.0568,71300,INLAND,2.2306501547987616
-121.59,39.39,22,2515,482,1284,462,2.1776,73800,INLAND,1.9587227414330217
-119.76,36.73,39,1553,363,1449,341,1.4419,45500,INLAND,1.0717736369910282
-122.28,37.9,49,3191,516,1148,507,6.3538,333700,NEAR BAY,2.779616724738676
-122.26,37.84,42,2555,665,1206,595,2.0804,226700,NEAR BAY,2.1185737976782755
-119.79,36.55,32,1393,276,999,245,2.0216,76800,INLAND,1.3943943943943944
-119.63,36.79,19,1317,189,517,187,4.526,148700,INLAND,2.5473887814313345
-122.04,37.85,27,6039,780,2181,761,9.5862,469400,NEAR BAY,2.768913342503439
-122.06,37.96,37,1784,313,788,304,4.2917,189600,NEAR BAY,2.263959390862944
-119.77,36.79,34,2679,460,1141,470,3.2642,89600,INLAND,2.347940403155127
-119.77,36.85,8,1519,234,711,248,5.9897,123600,INLAND,2.136427566807314
-122.23,37.79,43,5963,1344,4367,1231,2.1917,112800,NEAR BAY,1.365468284863751
-122.27,37.85,47,1375,307,843,319,1.3785,142300,NEAR BAY,1.631079478054567
-122.01,37.95,8,3866,539,1555,513,6.0901,298200,NEAR BAY,2.4861736334405147
-121.8,37.69,17,3956,639,2222,662,5.4324,215500,INLAND,1.7803780378037803
-121.82,39.75,37,2236,372,974,379,3.2016,97000,INLAND,2.295687885010267
-122.02,37.58,15,3052,760,2097,728,3.3617,178100,NEAR BAY,1.4554124940391036
-119.84,36.83,17,3012,408,987,362,7.4201,229700,INLAND,3.0516717325227964
-122.07,37.71,36,2879,480,1235,455,4.9801,241500,NEAR BAY,2.331174089068826
-122.3,37.88,45,453,146,749,137,1.475,187500,NEAR BAY,0.6048064085447263
-121.97,37.76,8,3743,581,1633,567,6.7027,381900,<1H OCEAN,2.29210042865891
-119.73,36.74,14,6202,1551,5561,1435,1.6073,64700,INLAND,1.1152670383024637
-119.57,36.71,10,1657,359,958,380,2.6458,84800,INLAND,1.7296450939457202
-122.11,38.01,41,1345,272,718,283,3.3831,129400,NEAR BAY,1.873259052924791
-122.24,37.79,47,1372,395,1237,303,2.125,95500,NEAR BAY,1.1091350040420371
-122.11,37.71,36,4569,824,1950,819,4.65,206800,NEAR BAY,2.3430769230769233
-119.81,36.7,52,314,57,178,66,1.2404,52500,INLAND,1.7640449438202248
-119.56,36.51,9,3860,809,2157,770,2.5033,70100,INLAND,1.789522484932777
-121.83,38.0,25,1710,288,799,259,4.8359,145300,INLAND,2.1401752190237797
-122.09,37.64,36,1885,307,853,271,4.1141,173100,NEAR BAY,2.2098475967174678
-122.23,37.8,50,1746,480,1149,415,2.25,123500,NEAR BAY,1.5195822454308094
-122.33,37.94,47,1882,361,797,342,3.5848,140800,NEAR BAY,2.361355081555834
-122.3,37.93,34,2254,357,715,306,4.5,304000,NEAR BAY,3.1524475524475526
-121.54,39.33,27,720,150,359,138,2.5313,61300,INLAND,2.0055710306406684
-122.27,37.88,52,1693,391,669,367,3.5417,287500,NEAR BAY,2.530642750373692
-122.06,37.6,22,3009,497,1640,514,4.625,235300,NEAR BAY,1.8347560975609756
-121.53,39.53,35,1806,293,683,295,4.5156,91200,INLAND,2.644216691068814
-119.71,36.8,17,2056,366,1259,367,3.9338,84700,INLAND,1.6330420969023034
-119.68,36.81,13,2589,413,1356,435,5.0253,106200,INLAND,1.9092920353982301
-122.3,37.9,15,5083,1212,2420,1146,4.5824,256100,NEAR BAY,2.100413223140496
-122.25,37.81,29,4656,1414,2304,1250,2.4912,257800,NEAR BAY,2.0208333333333335
-122.16,37.71,36,666,132,366,134,3.4643,175000,NEAR BAY,1.819672131147541
-122.19,37.77,45,1852,393,1132,349,2.7159,101400,NEAR BAY,1.6360424028268552
-122.28,37.9,52,2003,250,658,244,10.0825,397000,NEAR BAY,3.0440729483282674
-122.37,37.94,40,1064,266,912,239,1.0521,69100,NEAR BAY,1.1666666666666667
-120.93,38.26,13,2084,449,834,305,3.2937,114200,INLAND,2.498800959232614
-121.57,39.76,20,1384,257,557,232,2.0882,104900,INLAND,2.4847396768402152
-122.29,37.94,20,7578,1426,3637,1362,4.4387,190000,NEAR BAY,2.083585372559802
-119.71,36.81,9,1122,290,662,284,2.0536,55000,INLAND,1.6948640483383686
-122.05,37.95,27,3513,791,1875,694,3.1838,182000,NEAR BAY,1.8736
-120.88,38.58,8,3417,604,1703,623,4.0827,170700,INLAND,2.0064591896652963
-122.05,38.0,16,1085,217,356,232,2.3462,75000,NEAR BAY,3.047752808988764
-122.25,37.79,52,902,237,846,227,3.625,125000,NEAR BAY,1.066193853427896
-122.03,37.95,32,1955,313,804,317,4.9485,202300,NEAR BAY,2.431592039800995
-122.21,37.81,52,1389,212,510,224,5.2402,296400,NEAR BAY,2.723529411764706
-122.25,37.82,52,1424,289,550,253,5.0917,262500,NEAR BAY,2.589090909090909
-119.77,36.75,39,1287,332,1386,306,1.5227,46900,INLAND,0.9285714285714286
-121.89,39.76,15,10265,1860,4591,1906,3.07,142600,INLAND,2.2358963188847745
-122.0,38.99,39,1548,323,815,286,2.9489,67500,INLAND,1.8993865030674846
-122.23,37.79,30,999,264,1011,263,1.8854,137500,NEAR BAY,0.9881305637982196
-122.26,37.82,31,4596,1331,2048,1180,2.8345,183800,NEAR BAY,2.244140625
-122.24,37.85,52,3726,474,1366,496,9.3959,500001,NEAR BAY,2.727672035139092
-120.76,38.6,14,2925,625,1226,437,2.5865,133800,INLAND,2.3858075040783033
-122.36,37.96,39,246,57,316,52,0.716,104200,NEAR BAY,0.7784810126582279
-122.34,37.95,44,1788,368,933,329,2.875,133400,NEAR BAY,1.9163987138263665
-122.2,37.82,37,1229,181,420,176,7.0175,366700,NEAR BAY,2.926190476190476
-121.86,39.76,19,7254,1785,4030,1667,2.0094,87300,INLAND,1.8
-122.29,37.88,48,2365,490,1034,475,3.1065,229200,NEAR BAY,2.2872340425531914
-121.77,37.67,20,8068,1217,3489,1259,5.7907,264200,INLAND,2.3124104327887647
-119.76,36.81,19,4643,1429,4638,1335,1.2716,69400,INLAND,1.0010780508840018
-119.6,36.66,27,1388,296,1056,284,1.6094,55200,INLAND,1.3143939393939394
-122.19,37.8,46,1938,341,768,332,4.2727,246900,NEAR BAY,2.5234375
-122.14,37.73,51,2619,403,922,393,4.6042,251900,NEAR BAY,2.8405639913232106
-122.28,37.87,52,589,132,288,131,3.5156,200000,NEAR BAY,2.045138888888889
-122.29,38.0,16,4986,1081,2805,1016,4.025,173200,NEAR BAY,1.7775401069518717
-122.2,39.15,33,1064,174,434,147,3.125,108000,INLAND,2.4516129032258065
-122.16,39.74,20,707,126,337,125,3.0469,85000,INLAND,2.0979228486646884
-120.6,38.76,22,1236,273,615,248,3.0217,106900,INLAND,2.0097560975609756
-122.27,37.86,52,1088,305,486,267,2.6071,250000,NEAR BAY,2.2386831275720165
-122.17,37.69,24,2262,391,1125,366,4.7609,212600,NEAR BAY,2.010666666666667
-122.1,37.61,35,2361,458,1727,467,4.5281,173600,NEAR BAY,1.3671105964099595
-119.96,38.94,19,1429,292,585,188,2.2589,131600,INLAND,2.442735042735043
-119.72,36.73,9,1914,491,1116,424,1.4646,65900,INLAND,1.7150537634408602
-122.16,37.7,36,1097,208,568,225,2.9917,194600,NEAR BAY,1.931338028169014
-119.82,36.84,7,2289,342,1077,354,5.4868,158800,INLAND,2.1253481894150417
-122.18,37.8,34,1355,195,442,195,6.2838,318200,NEAR BAY,3.065610859728507
-119.94,38.95,25,1789,536,1134,396,2.32,91300,INLAND,1.5776014109347443
-121.54,40.06,17,858,262,47,27,2.4028,67500,INLAND,18.25531914893617
-119.79,36.74,52,173,87,401,84,2.1094,75000,INLAND,0.4314214463840399
-119.69,36.46,29,1702,301,914,280,2.8125,79200,INLAND,1.8621444201312911
-122.35,37.91,4,2851,798,1285,712,4.2895,186800,NEAR BAY,2.2186770428015565
-119.83,36.71,43,355,81,233,75,2.4167,73900,INLAND,1.5236051502145922
-121.85,37.72,43,228,40,83,42,10.3203,400000,INLAND,2.746987951807229
-122.18,37.9,36,4760,610,1511,572,9.0064,500001,NEAR BAY,3.1502316346790207
-122.19,37.73,44,1066,253,825,244,2.1538,79700,NEAR BAY,1.2921212121212122
-119.79,36.75,52,377,97,530,96,1.0,45000,INLAND,0.7113207547169811
-122.06,37.9,25,5869,1685,2669,1554,2.6998,216100,NEAR BAY,2.1989509179467968
-121.88,37.99,16,3787,515,1606,507,5.5676,174200,INLAND,2.3580323785803237
-122.09,37.68,29,2333,538,1120,540,2.4042,205600,NEAR BAY,2.0830357142857143
-121.44,39.5,26,1652,325,790,292,3.0446,90800,INLAND,2.091139240506329
-119.57,36.7,7,1761,309,974,308,3.7261,83900,INLAND,1.8080082135523614
-122.22,37.86,21,7099,1106,2401,1138,8.3014,358500,NEAR BAY,2.9566847147022073
-121.52,39.48,21,2628,494,1364,468,2.0455,59400,INLAND,1.9266862170087977
-122.35,37.97,43,2178,482,1545,471,2.5863,112200,NEAR BAY,1.4097087378640776
-119.87,36.72,30,1584,316,984,300,2.0658,67900,INLAND,1.6097560975609757
-122.25,37.79,52,1339,391,1086,363,2.181,138800,NEAR BAY,1.232965009208103
-122.21,37.8,39,2003,500,1109,464,3.0682,156500,NEAR BAY,1.806131650135257
-122.07,37.57,8,8647,1407,5019,1379,6.5615,318300,NEAR BAY,1.7228531579996016
-122.24,37.76,49,2428,525,1110,492,3.6719,229800,NEAR BAY,2.1873873873873872
-119.53,36.55,34,2065,343,1041,313,3.2917,111500,INLAND,1.9836695485110472
-121.98,37.97,26,2714,390,1232,409,5.9617,231100,INLAND,2.2029220779220777
-119.73,36.75,39,1745,321,901,303,3.1719,67900,INLAND,1.9367369589345171
-120.88,38.91,15,3876,778,1960,691,2.902,127300,INLAND,1.9775510204081632
-122.24,37.73,21,7031,1249,2930,1235,4.5213,228400,NEAR BAY,2.3996587030716725
-119.67,36.89,15,2373,364,1280,386,5.308,167500,INLAND,1.85390625
-122.14,37.69,38,1571,317,874,301,4.4659,189100,NEAR BAY,1.797482837528604
-122.03,37.98,44,1254,252,498,217,3.4531,148900,NEAR BAY,2.5180722891566263
-122.1,37.68,31,1892,428,1162,389,3.125,167100,NEAR BAY,1.6282271944922548
-119.58,36.77,19,3225,548,1760,542,4.0227,126500,INLAND,1.8323863636363635
-122.27,37.78,52,1408,280,718,265,2.6806,207900,NEAR BAY,1.9610027855153203
-122.35,37.96,36,2191,531,1563,524,2.5164,114200,NEAR BAY,1.4017914267434421
-119.76,36.72,24,1240,265,1035,232,2.875,60600,INLAND,1.1980676328502415
-122.29,37.92,36,1450,235,568,234,6.0,311400,NEAR BAY,2.5528169014084505
-122.24,37.85,52,2612,365,901,367,7.2354,391100,NEAR BAY,2.8990011098779136
-122.03,37.55,22,9167,1373,4319,1404,6.992,284800,NEAR BAY,2.122482056031489
-122.19,37.75,36,1126,263,482,150,1.9167,82800,NEAR BAY,2.336099585062241
-119.73,36.59,31,1551,296,1058,287,3.3438,92600,INLAND,1.4659735349716445
-122.22,37.81,52,2024,339,756,340,4.072,270100,NEAR BAY,2.677248677248677
-122.35,37.95,45,2142,431,1318,431,3.0737,111600,NEAR BAY,1.6251896813353566
-122.21,37.79,45,2115,533,1530,474,2.4167,139400,NEAR BAY,1.3823529411764706
-122.21,37.84,34,3038,490,1140,496,7.0548,325900,NEAR BAY,2.6649122807017545
-121.84,39.74,43,2976,599,1181,560,2.2621,85100,INLAND,2.5198983911939035
-122.28,37.88,52,1909,416,811,406,3.006,227900,NEAR BAY,2.3538840937114673
-121.92,37.96,14,5332,884,2093,839,5.2798,237400,INLAND,2.5475394171046344
-122.26,37.88,52,2551,417,894,404,6.2425,391800,NEAR BAY,2.853467561521253
-119.96,38.94,27,1492,393,717,254,1.8906,104200,INLAND,2.0808926080892607
-120.37,36.13,10,2522,533,1335,493,3.2639,86400,INLAND,1.8891385767790263
-122.06,37.6,18,1726,276,1186,310,5.3226,231700,NEAR BAY,1.4553119730185498
-119.87,36.81,6,1891,341,969,330,4.6726,107800,INLAND,1.9514963880288958
-122.38,37.91,18,3507,711,1224,676,5.0524,269800,NEAR BAY,2.8651960784313726
-122.08,37.96,21,9135,1534,3748,1502,6.0859,266000,NEAR BAY,2.437299893276414
-122.32,38.06,4,7999,1611,3596,1396,5.0969,174200,NEAR BAY,2.224416017797553
-122.15,37.73,28,2215,587,830,573,2.1898,141700,NEAR BAY,2.6686746987951806
-120.66,38.61,19,2715,596,1301,473,2.5042,126400,INLAND,2.0868562644119906
-122.27,37.77,23,5679,1270,2690,1151,4.7695,291700,NEAR BAY,2.111152416356877
-122.34,37.93,32,2389,652,1672,584,1.4423,88300,NEAR BAY,1.4288277511961722
-122.27,37.86,52,834,186,494,175,3.15,206300,NEAR BAY,1.688259109311741
-121.88,37.68,23,2234,270,854,286,7.333,337200,INLAND,2.6159250585480094
-122.08,37.62,17,2485,518,1139,550,2.6875,157300,NEAR BAY,2.1817383669885864
-122.19,37.79,50,968,195,462,184,2.9844,179900,NEAR BAY,2.0952380952380953
-119.82,36.77,36,2252,468,1117,442,2.9081,65600,INLAND,2.0161145926589077
-122.25,37.87,52,609,236,1349,250,1.1696,500001,NEAR BAY,0.4514455151964418
-122.28,37.86,52,2031,450,958,445,1.9327,169900,NEAR BAY,2.1200417536534446
-122.12,37.88,35,2785,362,1001,363,8.0448,433300,NEAR BAY,2.7822177822177823
-122.23,38.05,52,1736,358,638,297,2.5517,147100,NEAR BAY,2.7210031347962382
-119.44,36.59,32,1153,236,761,241,2.825,67600,INLAND,1.5151116951379764
-122.25,37.84,52,3104,687,1157,647,3.12,241400,NEAR BAY,2.6828003457216942
-120.08,36.34,18,1524,414,2030,356,2.1153,112500,INLAND,0.7507389162561576
-122.14,37.86,20,6201,1182,2415,1141,4.5744,314000,NEAR BAY,2.567701863354037
-122.28,37.85,41,535,123,317,119,2.4038,107500,NEAR BAY,1.6876971608832807
-121.52,39.51,30,3085,610,1688,575,2.334,72200,INLAND,1.82760663507109
-122.26,37.86,52,3497,832,1493,794,2.9044,257400,NEAR BAY,2.3422638981915607
-122.35,37.95,42,1485,290,971,303,3.6094,114600,NEAR BAY,1.529351184346035
-122.26,37.85,52,3503,752,1504,734,3.2705,241800,NEAR BAY,2.329122340425532
-122.22,37.78,44,2968,710,2269,610,2.3906,111700,NEAR BAY,1.3080652269722344
-122.11,37.64,8,3592,849,1907,746,3.6708,197900,NEAR BAY,1.8835867855270059
-122.25,38.05,30,1255,297,779,307,1.6767,147700,NEAR BAY,1.6110397946084725
-122.13,37.67,40,1748,318,914,317,3.8676,184000,NEAR BAY,1.912472647702407
-121.76,37.68,52,2157,418,929,419,3.7301,204400,INLAND,2.3218514531754573
-119.45,36.58,18,1425,280,753,266,3.7813,87300,INLAND,1.8924302788844622
-122.0,37.96,28,4071,713,2033,647,4.5833,190700,INLAND,2.00245941957698
-121.9,39.59,20,1465,278,745,250,3.0625,93800,INLAND,1.9664429530201342
-121.5,39.83,15,1896,408,893,334,1.6948,87500,INLAND,2.1231802911534157
-119.6,36.58,28,1452,300,919,308,2.8287,73100,INLAND,1.5799782372143634
-122.25,39.79,16,2127,412,1104,369,3.0469,72200,INLAND,1.9266304347826086
-121.95,38.02,9,3360,833,2041,810,2.1013,100700,INLAND,1.64625183733464
-122.2,37.89,37,3881,560,1315,517,7.3195,367500,NEAR BAY,2.9513307984790873
-122.24,37.82,52,3665,517,1470,520,6.155,398600,NEAR BAY,2.493197278911565
-122.26,37.83,52,1443,311,660,292,3.0125,184400,NEAR BAY,2.1863636363636365
-122.07,37.94,43,1454,234,683,258,4.475,265700,NEAR BAY,2.1288433382137626
-122.35,37.93,39,2002,416,1166,395,1.7257,91500,NEAR BAY,1.7169811320754718
-119.82,36.72,17,1276,242,927,238,2.6176,54100,INLAND,1.3764832793959008
-122.03,37.83,24,5948,738,1997,710,9.8708,500001,NEAR BAY,2.9784677015523284
-122.3,37.81,48,1455,354,788,332,0.8056,84400,NEAR BAY,1.8464467005076142
-122.17,37.74,41,1613,445,1481,414,2.4028,97700,NEAR BAY,1.0891289669142472
-122.08,37.64,23,1897,440,1109,418,3.142,179500,NEAR BAY,1.7105500450856628
-119.78,36.86,10,2902,363,1200,363,8.3608,187300,INLAND,2.4183333333333334
-119.76,36.8,29,3494,662,1781,616,2.5893,70900,INLAND,1.9618192026951151
-122.26,37.89,52,3078,494,1005,462,6.381,342200,NEAR BAY,3.062686567164179
-119.44,36.59,28,1343,330,1331,305,1.516,56700,INLAND,1.0090157776108188
-122.26,37.86,35,5161,1744,3276,1742,1.6307,253600,NEAR BAY,1.5753968253968254
-119.78,36.75,43,2070,512,1925,444,1.4635,46600,INLAND,1.0753246753246752
-119.69,36.75,6,1926,303,965,316,4.7463,93100,INLAND,1.9958549222797928
-122.21,37.78,46,2239,508,1390,569,2.7352,137300,NEAR BAY,1.6107913669064748
-119.8,36.75,46,2625,593,1368,551,1.5273,59000,INLAND,1.918859649122807
-122.29,37.97,20,3426,632,1512,580,4.4911,227400,NEAR BAY,2.265873015873016
-122.08,37.62,27,1826,309,1016,313,5.64,206500,NEAR BAY,1.797244094488189
-122.12,37.7,41,3495,787,1849,750,2.679,144900,NEAR BAY,1.8902109248242294
-122.15,37.72,31,1616,372,739,379,2.9097,210900,NEAR BAY,2.1867388362652234
-122.07,37.94,36,2639,488,1111,476,3.5057,205100,NEAR BAY,2.3753375337533753
-122.25,37.86,52,4048,663,1316,590,5.3794,376900,NEAR BAY,3.0759878419452886
-122.08,37.97,9,2643,439,1105,467,6.6579,245200,NEAR BAY,2.3918552036199094
-122.06,37.95,36,2213,386,950,370,4.7386,186400,NEAR BAY,2.329473684210526
-122.04,37.62,35,1032,173,453,176,6.396,208500,NEAR BAY,2.2781456953642385
-121.58,39.5,29,1947,383,925,337,2.1658,57600,INLAND,2.1048648648648647
-119.34,37.12,23,1881,380,64,37,3.875,125000,INLAND,29.390625
-122.21,37.8,39,2018,447,1221,446,3.0757,151000,NEAR BAY,1.6527436527436528
-122.07,37.67,27,3239,671,1469,616,3.2465,230600,NEAR BAY,2.2049012933968686
-120.66,38.4,18,2144,420,985,381,3.175,118500,INLAND,2.1766497461928935
-119.74,36.78,27,4049,947,2254,882,2.2467,70700,INLAND,1.7963620230700976
-119.12,36.69,13,3963,812,1905,671,2.2278,90500,INLAND,2.0803149606299214
-122.12,37.65,26,162,27,86,25,2.375,137500,NEAR BAY,1.8837209302325582
-122.28,37.88,52,2495,491,1058,464,4.1429,259600,NEAR BAY,2.3582230623818528
-122.03,37.86,29,3025,477,1035,452,6.112,390600,NEAR BAY,2.922705314009662
-122.04,37.96,28,1207,252,724,252,3.6964,165700,NEAR BAY,1.6671270718232045
-121.59,39.78,16,2754,570,1063,543,1.4048,86500,INLAND,2.590780809031044
-122.34,37.88,37,3061,930,2556,924,1.7375,350000,NEAR BAY,1.1975743348982786
-119.55,36.72,6,1186,234,1135,218,2.1515,63900,INLAND,1.0449339207048458
-122.07,37.89,38,757,124,319,123,5.6558,263300,NEAR BAY,2.373040752351097
-122.18,37.91,31,7200,876,2428,843,10.9405,500001,NEAR BAY,2.9654036243822075
-121.88,37.67,16,4070,624,1543,577,6.5214,311500,INLAND,2.6377187297472457
-122.13,37.69,17,2380,769,1216,643,3.395,271300,NEAR BAY,1.957236842105263
-119.64,36.85,15,2397,353,1258,347,4.9904,157300,INLAND,1.9054054054054055
-122.02,37.94,23,3516,661,1465,623,4.2569,213100,NEAR BAY,2.4
-119.73,36.72,15,2246,456,1190,403,2.0294,70400,INLAND,1.8873949579831932
-121.82,38.01,50,1120,281,625,239,1.5988,96400,INLAND,1.792
-121.91,37.81,7,3477,416,1216,395,13.1499,500001,INLAND,2.859375
-122.14,37.88,34,6986,1096,2865,1124,6.2275,394400,NEAR BAY,2.438394415357766
-121.86,38.0,16,3216,464,1504,453,5.25,161700,INLAND,2.1382978723404253
-122.19,37.76,45,995,238,630,237,1.925,74100,NEAR BAY,1.5793650793650793
-122.33,37.97,19,5151,1335,2548,1165,3.3125,158800,NEAR BAY,2.021585557299843
-120.25,36.65,31,1177,221,744,223,2.4937,66000,INLAND,1.581989247311828
-119.78,36.8,34,2200,493,1243,431,1.8514,66500,INLAND,1.7699115044247788
-122.03,37.97,20,3968,931,2629,903,2.9915,166700,NEAR BAY,1.509319132750095
-122.21,37.79,52,762,190,600,195,3.0893,125000,NEAR BAY,1.27
-119.75,36.75,50,1515,294,852,297,1.9955,54200,INLAND,1.778169014084507
-121.93,37.53,27,5532,973,2855,960,4.7478,243500,<1H OCEAN,1.9376532399299475
-119.77,36.81,28,1713,302,663,282,3.567,85500,INLAND,2.583710407239819
-119.85,36.78,8,3096,684,1454,545,2.7857,79700,INLAND,2.1292984869326
-122.23,37.81,52,2814,365,878,352,7.508,348700,NEAR BAY,3.20501138952164
-122.09,37.66,40,1340,313,766,271,3.4722,135400,NEAR BAY,1.7493472584856398
-122.08,39.25,52,224,38,120,45,3.017,112500,INLAND,1.8666666666666667
-120.88,38.16,8,2029,387,1000,364,4.0109,125900,INLAND,2.029
-122.02,37.59,18,1165,333,855,319,3.6923,213200,NEAR BAY,1.3625730994152048
-121.92,37.69,13,3742,555,1590,559,7.316,285400,<1H OCEAN,2.3534591194968555
-122.05,38.0,36,2476,472,1213,393,3.7333,136400,NEAR BAY,2.041220115416323
-119.98,38.92,28,1408,312,522,221,2.0708,89600,INLAND,2.6973180076628354
-119.81,36.73,50,772,194,606,167,2.2206,59200,INLAND,1.273927392739274
-122.07,37.58,16,1606,240,1117,268,6.0661,247000,NEAR BAY,1.4377797672336616
-122.15,37.74,52,2898,557,1338,550,3.851,183500,NEAR BAY,2.1659192825112106
-122.05,37.9,32,4498,862,1818,851,4.8088,321200,NEAR BAY,2.474147414741474
-122.24,37.77,43,955,284,585,266,2.3882,162500,NEAR BAY,1.6324786324786325
-121.87,39.75,22,1707,296,822,297,3.6625,126600,INLAND,2.076642335766423
-121.86,38.0,4,4075,927,2239,849,3.5857,165200,INLAND,1.8200089325591782
-122.12,37.99,33,1660,277,741,261,4.675,225400,NEAR BAY,2.2402159244264506
-122.18,37.89,18,4845,735,1634,734,8.1489,499000,NEAR BAY,2.9651162790697674
-119.88,36.83,2,4055,735,1730,654,4.2132,96500,INLAND,2.3439306358381504
-122.01,37.97,34,3259,498,1250,478,5.3794,206200,NEAR BAY,2.6072
-121.89,39.71,26,2741,451,1217,437,3.7007,139200,INLAND,2.2522596548890714
-122.18,37.74,35,504,126,323,109,1.8438,90500,NEAR BAY,1.5603715170278638
-121.94,37.75,17,2559,370,1238,377,6.2781,269800,<1H OCEAN,2.0670436187399033
-122.22,37.82,42,2991,335,1018,335,13.499,500001,NEAR BAY,2.93811394891945
-122.09,37.71,35,2663,387,1086,367,5.1498,266400,NEAR BAY,2.4521178637200736
-122.08,37.92,26,1733,265,796,274,6.195,264900,NEAR BAY,2.1771356783919598
-119.77,36.78,40,1411,284,609,296,1.9375,67700,INLAND,2.316912972085386
-122.24,37.82,52,1509,225,674,244,4.9306,313400,NEAR BAY,2.2388724035608307
-122.25,37.86,48,2153,517,1656,459,3.0417,489600,NEAR BAY,1.3001207729468598
-122.32,37.95,37,1887,353,895,359,4.45,196600,NEAR BAY,2.1083798882681566
-122.07,37.66,21,5031,1168,2461,1042,3.875,179300,NEAR BAY,2.044290938642828
-119.82,36.83,16,2868,376,1016,379,6.1175,144700,INLAND,2.822834645669291
-122.42,37.93,47,3453,779,1353,728,4.016,274500,NEAR BAY,2.5521064301552108
-122.09,39.13,28,4169,895,2587,810,2.331,65500,INLAND,1.6115191341321995
-122.2,37.78,39,1752,399,1071,376,3.1167,121600,NEAR BAY,1.6358543417366946
-122.16,37.77,45,2324,397,968,384,3.5739,176000,NEAR BAY,2.4008264462809916
-122.19,37.8,48,1694,259,610,238,4.744,257300,NEAR BAY,2.777049180327869
-122.28,37.9,52,2261,328,819,335,4.9083,346800,NEAR BAY,2.7606837606837606
-120.34,38.23,10,3757,722,546,223,3.75,121400,INLAND,6.880952380952381
-122.2,37.8,52,1547,293,706,268,4.7721,217100,NEAR BAY,2.191218130311615
-122.13,37.75,36,768,93,229,93,5.3602,330000,NEAR BAY,3.353711790393013
-122.24,37.72,5,18634,2885,7427,2718,7.611,350700,NEAR BAY,2.5089538171536288
-119.89,36.7,32,1485,269,867,271,2.5809,78300,INLAND,1.71280276816609
-122.18,37.73,42,4074,874,2736,780,2.455,82400,NEAR BAY,1.4890350877192982
-122.04,37.66,10,2031,357,867,352,5.3169,299200,NEAR BAY,2.342560553633218
-122.02,37.95,22,3526,510,1660,508,5.6642,237000,NEAR BAY,2.1240963855421686
-119.67,36.65,20,2512,449,1464,450,3.9211,92300,INLAND,1.715846994535519
-122.12,37.94,22,4949,626,1850,590,10.4549,500001,NEAR BAY,2.675135135135135
-122.2,37.84,35,2865,460,1072,443,7.4882,319300,NEAR BAY,2.672574626865672
-121.87,37.66,27,1569,242,583,214,5.7519,278500,INLAND,2.6912521440823327
-122.26,37.77,52,1565,315,637,297,4.7778,351800,NEAR BAY,2.456828885400314
-120.67,37.97,9,7450,1475,2233,930,2.6528,133000,INLAND,3.336318853560233
